question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
【5:ソフトウェア】ページング方式 とは？,仮想記憶を固定サイズのページ単位で管理する方式,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】スラッシング とは？,ページの入れ替えが頻発しCPUの実質的な処理能力が低下する現象,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】LRU とは？,最も長い間使われていないページを置換対象とするアルゴリズム,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】ガベージコレクション とは？,不要になったメモリ領域を自動的に解放する仕組み,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】ミドルウェア とは？,OSとアプリケーションの中間に位置し、共通機能を提供するソフトウェア,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】DBMS とは？,データベースの構築・操作・管理を行うソフトウェア,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】ディレクトリ とは？,ファイルを階層的に管理するための仕組み。フォルダとも呼ばれる,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】絶対パス とは？,ルートディレクトリからの完全なファイルの位置指定,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】相対パス とは？,現在のディレクトリからの相対的なファイルの位置指定,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】フルバックアップ とは？,全てのデータをバックアップする方式。復元が容易だが時間と容量が必要,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】差分バックアップ とは？,前回のフルバックアップからの変更分のみバックアップする方式,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】増分バックアップ とは？,前回のバックアップからの変更分のみバックアップする方式。容量最小,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】コンパイラ とは？,ソースコード全体を一括して機械語に変換するプログラム,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】インタプリタ とは？,ソースコードを1行ずつ解釈しながら実行するプログラム,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】リンカ とは？,複数のオブジェクトファイルを結合して実行可能ファイルを生成するプログラム,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】OSS（オープンソースソフトウェア） とは？,ソースコードが公開され自由に利用・改変・再配布できるソフトウェア,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】GPL とは？,コピーレフトのOSSライセンス。派生物も同じライセンスで公開する義務,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】IDE とは？,統合開発環境。コーディング・コンパイル・デバッグを一つのツールで提供,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【6:ハードウェア】AND回路 とは？,全入力が1のとき出力1を返す基本論理回路,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】OR回路 とは？,入力のいずれかが1のとき出力1を返す基本論理回路,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】NOT回路 とは？,入力を反転させる基本論理回路,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】NAND回路 とは？,AND回路の出力を反転させた万能回路。全ての論理回路を実現可能,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】フリップフロップ とは？,1ビットの情報を記憶できる順序回路。レジスタやメモリの基本要素,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】半加算器 とは？,1ビット同士の加算で和と桁上げを出力する回路。下位桁からの桁上げ入力なし,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】全加算器 とは？,1ビット同士の加算で下位桁からの桁上げも考慮する回路,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【6:ハードウェア】FPGA とは？,プログラムにより論理回路の構成を変更できる集積回路,,大分類:2:コンピュータシステム / 中分類:6:ハードウェア,,
【7:ユーザーインタフェース】GUI とは？,アイコンやメニュー等のグラフィック要素で操作するインタフェース,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】CUI とは？,文字（コマンド）入力で操作するインタフェース,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】ユーザビリティ とは？,製品やシステムの使いやすさの度合い,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】アクセシビリティ とは？,障害の有無に関わらず誰もが利用できる度合い,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】UXデザイン とは？,ユーザーが製品・サービスを通じて得る体験全体を設計すること,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】ユニバーサルデザイン とは？,年齢や能力に関係なく全ての人が利用できるデザイン,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【7:ユーザーインタフェース】人間中心設計 とは？,ユーザーの要求や特性を中心に据えたシステム設計プロセス,,大分類:3:技術要素 / 中分類:7:ユーザーインタフェース,,
【8:情報メディア】JPEG とは？,非可逆圧縮の静止画像フォーマット。写真に適する,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【8:情報メディア】PNG とは？,可逆圧縮の静止画像フォーマット。透過処理に対応,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【8:情報メディア】GIF とは？,256色以下の画像に適したフォーマット。アニメーション対応,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【8:情報メディア】MPEG とは？,動画・音声のデジタル圧縮規格の総称,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【8:情報メディア】AR（拡張現実） とは？,現実世界にデジタル情報を重ねて表示する技術,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【8:情報メディア】VR（仮想現実） とは？,コンピュータが作り出す仮想空間に没入する技術,,大分類:3:技術要素 / 中分類:8:情報メディア,,
【9:データベース】関係データベース とは？,データを2次元の表（テーブル）で管理するデータベース方式,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】主キー とは？,テーブル内のレコードを一意に識別するための属性,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】外部キー とは？,他のテーブルの主キーを参照する属性。テーブル間の関連を表現,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】正規化 とは？,データの冗長性を排除しデータの整合性を保つためにテーブルを分割する過程,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】第1正規形 とは？,繰り返し項目を排除した状態,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】第2正規形 とは？,部分関数従属を排除した状態,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】第3正規形 とは？,推移的関数従属を排除した状態,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】SQL とは？,関係データベースの操作言語。SELECT、INSERT、UPDATE、DELETE等,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】SELECT文 とは？,テーブルからデータを検索・取得するSQL文,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】JOIN とは？,複数のテーブルを結合して一つの結果セットを得るSQL操作,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】トランザクション とは？,データベースに対する一連の処理の単位。ACID特性を持つ,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】ACID特性 とは？,原子性・一貫性・独立性・耐久性。トランザクションが持つべき4つの性質,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】コミット とは？,トランザクションの処理結果を確定してデータベースに反映すること,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】ロールバック とは？,トランザクションの処理結果を取り消し開始前の状態に戻すこと,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】排他制御（ロック） とは？,複数の処理が同時にデータを更新する際の矛盾を防ぐ仕組み,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】デッドロック とは？,複数のトランザクションが互いにロックの解放を待ち合い処理が停止する状態,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】インデックス とは？,テーブルの検索速度を向上させるためのデータ構造,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】ビュー とは？,1つ以上のテーブルから定義された仮想的なテーブル。実データは持たない,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】NoSQL とは？,関係データベース以外のデータベースの総称。大量データの高速処理に適する,,大分類:3:技術要素 / 中分類:9:データベース,,
【9:データベース】E-R図 とは？,実体（Entity）と関連（Relationship）でデータ構造を表現する図,,大分類:3:技術要素 / 中分類:9:データベース,,
【10:ネットワーク】LAN とは？,建物内等の限られた範囲のネットワーク,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】WAN とは？,地理的に離れたLANを接続する広域ネットワーク,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】OSI参照モデル とは？,通信機能を7つの階層に分けて標準化したモデル,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】TCP/IP とは？,インターネットの標準プロトコル群。TCPとIPを中心とした階層構造,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】IPアドレス とは？,ネットワーク上の機器を識別するための論理アドレス,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】IPv4 とは？,32ビットのIPアドレス。約43億個のアドレス空間,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】IPv6 とは？,128ビットのIPアドレス。IPv4のアドレス枯渇問題に対応,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】サブネットマスク とは？,IPアドレスのネットワーク部とホスト部を区別するためのビットマスク,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】DHCP とは？,ネットワーク接続時にIPアドレスを自動的に割り当てるプロトコル,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】DNS とは？,ドメイン名とIPアドレスを相互変換するシステム,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】HTTP/HTTPS とは？,Webの通信プロトコル。HTTPSはSSL/TLSで暗号化したもの,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】SMTP とは？,電子メールを送信するためのプロトコル,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】POP3/IMAP とは？,電子メールを受信するプロトコル。IMAPはサーバ上で管理,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】FTP とは？,ファイルを転送するためのプロトコル,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】ルーター とは？,異なるネットワーク間でデータの経路選択（ルーティング）を行う機器,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】スイッチングハブ（L2スイッチ） とは？,MACアドレスに基づいてフレームを転送するネットワーク機器,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】NAT とは？,プライベートIPアドレスとグローバルIPアドレスを変換する技術,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】NAPT（IPマスカレード） とは？,NATにポート番号変換を加え、複数端末が1つのグローバルIPを共有する技術,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】VPN とは？,公衆回線上に暗号化された仮想的な専用通信路を構築する技術,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】プロキシサーバ とは？,内部ネットワークとインターネットの間で通信を中継するサーバ,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】Wi-Fi とは？,無線LAN規格IEEE 802.11準拠の通信技術,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【10:ネットワーク】SSID とは？,無線LANのアクセスポイントを識別する名前,,大分類:3:技術要素 / 中分類:10:ネットワーク,,
【11:セキュリティ】機密性 とは？,許可された者だけが情報にアクセスできる状態。情報セキュリティの3要素の1つ,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】完全性 とは？,情報が正確で改ざんされていない状態。情報セキュリティの3要素の1つ,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】可用性 とは？,必要な時に情報やシステムを利用できる状態。情報セキュリティの3要素の1つ,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】脅威 とは？,情報セキュリティを脅かす要因。技術的・人的・物理的脅威がある,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】脆弱性 とは？,システムやソフトウェアに存在するセキュリティ上の弱点,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】マルウェア とは？,悪意のあるソフトウェアの総称。ウイルス、ワーム、トロイの木馬等,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ランサムウェア とは？,データを暗号化して身代金を要求するマルウェア,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】フィッシング とは？,偽のWebサイトやメールで個人情報を不正に取得する攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】SQLインジェクション とは？,入力値にSQL文を挿入してデータベースを不正操作する攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】XSS（クロスサイトスクリプティング） とは？,Webサイトに悪意のあるスクリプトを埋め込む攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】DoS攻撃 とは？,大量のリクエストでサーバの処理能力を超過させサービスを妨害する攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】DDoS攻撃 とは？,多数の端末から一斉にDoS攻撃を行う分散型攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ソーシャルエンジニアリング とは？,人間の心理的弱点を突いて情報を不正に取得する手法,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ブルートフォース攻撃 とは？,パスワードの全ての組合せを総当たりで試す攻撃,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】共通鍵暗号方式 とは？,暗号化と復号に同じ鍵を使用する方式。AES等。処理が高速,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】公開鍵暗号方式 とは？,公開鍵で暗号化し秘密鍵で復号する方式。RSA等。鍵配送が容易,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】デジタル署名 とは？,公開鍵暗号を使い、送信者の認証と改ざん検知を行う技術,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】認証局（CA） とは？,デジタル証明書を発行し公開鍵の正当性を保証する機関,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】SSL/TLS とは？,通信を暗号化して盗聴や改ざんを防ぐプロトコル。HTTPSで使用,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ファイアウォール とは？,ネットワーク間の通信を監視し不正なアクセスを遮断する仕組み,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】IDS とは？,侵入検知システム。不正アクセスを検知して通知する,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】IPS とは？,侵入防止システム。不正アクセスを検知し自動的に遮断する,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】WAF とは？,Webアプリケーションへの攻撃を検知・防御する仕組み,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】DMZ（非武装地帯） とは？,外部と内部ネットワークの間に設ける緩衝地帯。公開サーバを配置,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】多要素認証 とは？,知識・所持・生体の異なる2つ以上の要素を組合せた認証,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】生体認証（バイオメトリクス） とは？,指紋・顔・虹彩等の身体的特徴で本人を認証する方式,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ISMS とは？,情報セキュリティマネジメントシステム。組織的にセキュリティを管理する仕組み,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】リスクアセスメント とは？,リスクの特定・分析・評価を行うプロセス,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ペネトレーションテスト とは？,システムに対して疑似的な攻撃を行い脆弱性を検証するテスト,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【11:セキュリティ】ハッシュ関数 とは？,任意長のデータから固定長のハッシュ値を生成する関数。改ざん検知に使用,,大分類:3:技術要素 / 中分類:11:セキュリティ,,
【12:システム開発技術】要件定義 とは？,システムに求められる機能や性能を明確にする工程,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】機能要件 とは？,システムが提供すべき機能に関する要件,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】非機能要件 とは？,性能・信頼性・セキュリティ等の機能以外の要件,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】外部設計（基本設計） とは？,ユーザーから見たシステムの振る舞いを設計する工程,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】内部設計（詳細設計） とは？,プログラムの内部構造やデータ構造を設計する工程,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】モジュール設計 とは？,プログラムを機能単位のモジュールに分割する設計,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】コーディング とは？,設計書に基づいてプログラムを記述する工程,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】単体テスト とは？,個々のモジュールの動作を検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】結合テスト とは？,複数のモジュールを結合した際の動作を検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】システムテスト とは？,システム全体が要件を満たしているか検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】受入れテスト とは？,発注者が要件を満たしているか確認するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】ホワイトボックステスト とは？,プログラムの内部構造に着目したテスト。命令網羅・分岐網羅等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】ブラックボックステスト とは？,入出力仕様に基づくテスト。同値分割・境界値分析等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】レグレッションテスト とは？,修正後に他の箇所に影響がないことを確認するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】レビュー とは？,成果物を人間の目で検証する品質管理活動。ウォークスルー・インスペクション等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【13:ソフトウェア開発管理技術】ウォーターフォールモデル とは？,要件定義→設計→実装→テストを順に進める開発モデル,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】アジャイル開発 とは？,短い反復サイクルで開発を進め変化に対応する手法の総称,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】スクラム とは？,アジャイル開発のフレームワーク。スプリント単位で開発を反復,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】XP（エクストリームプログラミング） とは？,ペアプログラミング・TDD等のプラクティスを用いるアジャイル手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】プロトタイピング とは？,試作品を作ってユーザーの確認を得ながら開発する手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】スパイラルモデル とは？,設計→プロトタイプ→評価→計画を繰り返す段階的開発モデル,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】DevOps とは？,開発チームと運用チームが連携し、迅速なリリースを実現する手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】CI/CD とは？,継続的インテグレーション/継続的デリバリー。ビルド・テスト・デプロイの自動化,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】リファクタリング とは？,外部動作を変えずにプログラムの内部構造を改善すること,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】構成管理 とは？,ソフトウェアの変更履歴やバージョンを体系的に管理すること,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】Git とは？,分散型バージョン管理システム。ソースコードの変更履歴を管理,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【14:プロジェクトマネジメント】PMBOK とは？,プロジェクトマネジメントの知識体系ガイド。PMI策定,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】WBS とは？,作業分解構成図。プロジェクトの作業を階層的に細分化した図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ガントチャート とは？,作業項目と期間を棒グラフで表すスケジュール管理図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】PERT とは？,作業の順序関係と所要時間からクリティカルパスを求める手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】クリティカルパス とは？,プロジェクト全体の最短完了日を決定する最長の経路,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】アローダイアグラム とは？,作業の順序と所要時間を矢印と結合点で表す図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】EVM（アーンドバリュー） とは？,計画値・出来高・実コストを比較しプロジェクトの進捗とコストを管理する手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ステークホルダ とは？,プロジェクトに影響を与える、または影響を受ける関係者,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】リスクマネジメント とは？,リスクの特定・分析・対応計画の策定と監視を行う管理活動,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ファンクションポイント法 とは？,機能の数と複雑度から開発規模を見積もる手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【15:サービスマネジメント】ITIL とは？,ITサービスマネジメントのベストプラクティス集,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】SLA とは？,サービスレベル合意書。サービスの品質基準を定めた合意文書,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】インシデント管理 とは？,障害等のインシデント発生時にサービスを速やかに復旧させる活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】問題管理 とは？,インシデントの根本原因を特定し再発を防止する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】変更管理 とは？,システムの変更を計画的・体系的に実施管理する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】リリース管理 とは？,変更されたソフトウェアやハードウェアの本番環境への導入を管理する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】サービスデスク とは？,ユーザーからの問い合わせや障害報告を受け付ける窓口,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】ファシリティマネジメント とは？,建物・設備等の物理的環境を効率的に管理すること,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】UPS（無停電電源装置） とは？,停電時に電力を供給し機器の安全な停止や継続運転を可能にする装置,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【16:システム監査】システム監査 とは？,情報システムの信頼性・安全性・効率性を独立した立場から評価する活動,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】監査証拠 とは？,監査の結論を裏付ける情報や記録,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】監査報告書 とは？,監査の結果と改善提案をまとめた文書,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】内部統制 とは？,組織の業務の適正を確保するための体制や仕組み,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】ITガバナンス とは？,IT戦略を組織全体の戦略と整合させるための統制の仕組み,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【17:システム戦略】EA（エンタープライズアーキテクチャ） とは？,組織全体の業務とITの構造を最適化するための設計手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】BPR（業務プロセス改革） とは？,既存の業務プロセスを根本から見直し再設計すること,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SOA とは？,サービス指向アーキテクチャ。業務機能をサービスとして提供し組合せる設計手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】ERP とは？,企業の経営資源（人・物・金・情報）を統合的に管理するパッケージソフト,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】CRM とは？,顧客との関係を管理し、顧客満足度と売上の向上を図る仕組み,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SCM とは？,供給連鎖管理。原材料の調達から消費者への納品までの流れを最適化する管理手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SFA とは？,営業活動を支援し効率化するシステム,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】RPA とは？,定型的な事務作業をソフトウェアロボットで自動化する技術,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】DX（デジタルトランスフォーメーション） とは？,デジタル技術を活用してビジネスモデルや業務を変革すること,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【18:システム企画】RFP（提案依頼書） とは？,システム導入時にベンダーに提出する、要件と条件を記した文書,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】RFI（情報提供依頼書） とは？,ベンダーに技術情報や製品情報の提供を求める文書,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】要件定義 とは？,システムに求められる要件を明確化し文書化する工程,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】フィージビリティスタディ とは？,システム化の実現可能性を事前に調査・検討すること,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】ROI（投資利益率） とは？,投資に対する利益の割合。投資効果の評価指標,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【19:経営戦略マネジメント】SWOT分析 とは？,強み・弱み・機会・脅威の4観点から経営環境を分析する手法,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】PPM とは？,プロダクトポートフォリオマネジメント。市場成長率と市場占有率で事業を分類,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】競争戦略（ポーターの3つの基本戦略） とは？,コストリーダーシップ・差別化・集中の3つの戦略,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
